filename,reference,hypothesis,raw_ref,raw_hyp,wer
common_voice_en_100034,i just know that the tradition is always right,and just know that the tradition has always survived,I just know that the Tradition is always right., and just know that the tradition has always survived.,0.3333333333333333
common_voice_en_100035,i saw a young man standing on the cylinder and trying to scramble out of the hole again,i saw a young man standing on a cylinder and trying to struggle out of the pollution,I saw a young man standing on the cylinder and trying to scramble out of the hole again., I saw a young man standing on a cylinder and trying to struggle out of the pollution.,0.2222222222222222
common_voice_en_100036,i forgot my hat,thank you,I forgot my hat., Thank you.,1.0
common_voice_en_100037,mohamed plays often with the computer,now place option in the computer,Mohamed plays often with the computer., Now place option in the computer.,0.6666666666666666
common_voice_en_100038,why does melissandre look like she wants to consume jon snow on the ride up the wall,by us and the example attraction was the conseoth,Why does Melissandre look like she wants to consume Jon Snow on the ride up the wall?," By us, and the example attraction was the conseoth",0.9411764705882353
common_voice_en_100039,and my names michael,my names michael,"""And my name's Michael.""", My name's Michael.,0.25
common_voice_en_100040,the burning fire had been extinguished,von которых berlin die hehste gift,The burning fire had been extinguished., von которых berlin die hehste Gift.,1.0
common_voice_en_100041,he didnt want any conversation at this point,he didnt prompt any conversation at this point,"""He didn't want any conversation at this point.""", He didn't prompt any conversation at this point.,0.125
common_voice_en_100042,i should say not,i should say not,I should say not!, I should say not.,0.0
common_voice_en_100043,i was impatient to see it opened,i was impatient to see it open,I was impatient to see it opened., I was impatient to see it open.,0.14285714285714285
common_voice_en_100166,this cant be stressed enough i am innocent he cried desperately,is caos et pur gas ag sick clai l dedicate,"""""""This can't be stressed enough: I am innocent!"""", he cried desperately."""," Is caos et pur gas, ag sick clai l dedicate.",1.0
common_voice_en_100168,a woman ought to be prepared for any emergency,,A woman ought to be prepared for any emergency.,,1.0
common_voice_en_100169,i wired her that i wasnt coming,ha ha ha ha ha ha,"""I wired her that I wasn't coming.""", Ha ha ha ha ha ha.,1.0
common_voice_en_100170,so you combined pleasure with business,so come on other half of us,So you combined pleasure with business!," So come on, other half of us.",1.0
common_voice_en_100171,it was due to her knowledge and experience that she solved the mystery first,det skipper구 er gjent sel ass de stadgить inge,It was due to her knowledge and experience that she solved the mystery first.," det skipper구 er gjent, sel ass de stadgить inge.",1.0
common_voice_en_100172,dont you know theres a war on,,"""Don't you know there's a war on?""",,1.0
common_voice_en_100173,a crowd of people stood around the fountain,,A crowd of people stood around the fountain.,,1.0
common_voice_en_100174,this sapling will once become a giant oak tree,the second siècle of the gerçekten drought crap,This sapling will once become a giant oak tree., The second siècle of the gerçekten drought crap.,1.0
common_voice_en_100176,that brings you good luck for ten years,продолжение следует,That brings you good luck for ten years., Продолжение следует...,1.0
common_voice_en_100177,then he may be caught on a ledge,thank you,Then he may be caught on a ledge!, Thank you.,1.0
